BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,Building_age,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,%_LargestPropertyUseType,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SourceEUI(kBtu/sf),%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes
NonResidential,Retail Store,98133.0,NORTHWEST,21,1.0,1,101830,Retail Store,130767.0,1.2841696945890209,10713006.0,0.0,5935365.0,4777640.0,295.12,180.8999939,0.0,1.0,1
NonResidential,Warehouse,98053.0,SOUTHWEST,51,1.0,1,152365,Non-Refrigerated Warehouse,149293.0,0.9798378892790339,1069749.75,0.0,948207.0,121543.0,13.07,19.79999924,0.0,1.0,2
NonResidential,Medical Office,98122.0,CENTRAL,106,1.0,6,320946,Medical Office,236359.0,0.7364447601777246,25471308.0,0.0,25205084.0,266222.0,189.85,246.1999969,0.0,1.0,2
NonResidential,Warehouse,98125.0,NORTH,29,1.0,4,80360,Non-Refrigerated Warehouse,80360.0,1.0,686019.1875,0.0,437019.0,249000.0,16.27,20.29999924,0.0,1.0,1
NonResidential,Supermarket / Grocery Store,98122.0,EAST,20,1.0,3,119190,Supermarket/Grocery Store,46280.0,0.38828760802080714,10077532.0,0.0,5813407.0,4264124.0,267.0,491.2000122,0.0,1.0,1
NonResidential,Mixed Use Property,98134.0,GREATER DUWAMISH,95,1.0,3,66138,Office,26044.0,0.3937826967855091,7070998.5,0.0,7070998.0,0.0,49.29,439.0,0.19029907163809007,0.80970092836191,4
NonResidential,Large Office,98105.0,NORTHEAST,56,1.0,3,113944,Office,65434.0,0.5742645510075125,17880184.0,0.0,17791664.0,88516.0,128.73,855.2000122,0.42573544899248755,0.5742645510075125,1
NonResidential,Low-Rise Multifamily,98103.0,LAKE UNION,16,1.0,3,93079,Multifamily Housing,91064.0,0.9783517227301539,1997181.5,0.0,1744199.0,252982.0,25.6,63.09999847,0.3877673803972969,0.612232619602703,1
NonResidential,Worship Facility,98115.0,NORTHEAST,59,1.0,2,22220,Worship Facility,22220.0,1.0,778355.8125,0.0,208060.0,570296.0,31.74,56.40000153,0.0,1.0,1
NonResidential,Warehouse,98108.0,GREATER DUWAMISH,40,1.0,1,44100,Non-Refrigerated Warehouse,40000.0,0.9070294784580499,1618916.375,0.0,1618916.0,0.0,11.29,127.0999985,0.0,1.0,1
NonResidential,Distribution Center,98108.0,GREATER DUWAMISH,51,1.0,1,27800,Distribution Center,27800.0,1.0,1224186.25,0.0,880605.0,343581.0,24.39,112.4000015,0.0,1.0,1
NonResidential,Warehouse,98134.0,GREATER DUWAMISH,15,1.0,1,46340,Non-Refrigerated Warehouse,46340.0,1.0,2564004.0,0.0,2564004.0,0.0,17.87,173.6999969,0.0,1.0,1
NonResidential,Small- and Mid-Sized Office,98122.0,CENTRAL,106,1.0,3,38460,Office,38460.0,1.0,1950713.25,0.0,1464669.0,486044.0,36.02,132.8000031,0.0,1.0,1
